id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
84771,Campus Retreat,321037,Lucien,,78705,30.29386,-97.74188,Entire home/apt,81,2,16,2018-01-03,0.28,2,0,0,
430683,Architectual Gem/ Pool,2141281,Melanie,,78731,30.33875,-97.76135,Entire home/apt,695,31,2,2016-05-30,0.02,3,96,0,
433996,Modern Loft in the Heart of Austin!,2157243,Sean,,78704,30.26139,-97.77566,Entire home/apt,137,2,265,2022-04-27,2.17,7,68,30,
435211,Austin Historic home bedroom only,1644218,Cecily,,78701,30.27241,-97.74894,Private room,82,2,164,2020-02-15,1.34,2,0,0,
789994,"Private room in 3 BR condo Austin, TX",4162906,"Edward ""Jack""",,78752,30.32713,-97.68127,Private room,125,1,0,,,1,0,0,
89475,"2 Living Rooms, Lots of Big Beds! 3 king, 2 queen",487072,Greg & Amanda,,78757,30.35681,-97.72618,Entire home/apt,366,45,116,2020-04-11,0.97,14,5,0,
90898,"Artsy, Cozy, and Fun; Our Travis Heights 2-1",236847,Lester,,78704,30.24498,-97.74935,Entire home/apt,174,1,108,2022-05-20,0.80,2,348,18,
801521,Fantastic SOCO Studio,4218754,Jana,,78704,30.23457,-97.7615,Entire home/apt,106,2,171,2022-06-05,1.50,1,324,48,
811086,UNIQUE Downtown/ Prime Location/CLEAN,419707,Julia,,78701,30.27485,-97.7486,Entire home/apt,260,1,7,2019-04-28,0.15,3,0,0,
90957,"SOCO Austin, TX Guest Room in 2Bedroom House",236847,Lester,,78704,30.24574,-97.74828,Private room,84,1,3,2012-11-20,0.02,2,348,0,
104099,Zilker Guesthouse,213651,Daniel,,78704,30.25433,-97.77582,Entire home/apt,104,1,210,2022-05-31,1.61,2,69,42,
104386,South Austin Cottage 78704 - 2BR,543367,Mary,,78704,30.24645,-97.74701,Entire home/apt,150,31,136,2022-03-24,1.01,2,272,5,
113779,Spacious 1BR w/ Office in Hyde Park,578211,Pete,,78751,30.3027,-97.72945,Entire home/apt,126,20,93,2022-05-15,0.73,9,312,9,
813709,Cozy Bright Hyde Park Guest House,578211,Pete,,78751,30.30263,-97.7293,Entire home/apt,102,20,55,2022-03-20,0.49,9,282,3,
